observable_value,artifact_details,data_source,classification,STIX_supported,proprietary_artifact,parser,notes,description,technique_num,description_id,deprecated,related_id,file name,url,Added by,,,,,,,,,
Tricon,Mentioned,ICS data,PLC,No,Proprietary-Documented Technology,,"Likely refers to a safety controller (e.g., Triconex) targeted by the payload transfer",[Triton](https://attack.mitre.org/software/S1009) calls the SafeAppendProgramMod to transfer its payloads to the Tricon. Part of this call includes preforming a program upload. (Citation: MDudek-ICS),T0845,relationship--a946c9b1-5b89-44c9-b617-3412ffda34b9,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
Triton,Described,system logs,Software/Tool,No,Proprietary-Documented Technology,,Referenced with MITRE ATT&CK identifier S1009,[Triton](https://attack.mitre.org/software/S1009) calls the SafeAppendProgramMod to transfer its payloads to the Tricon. Part of this call includes preforming a program upload. (Citation: MDudek-ICS),T0845,relationship--a946c9b1-5b89-44c9-b617-3412ffda34b9,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
program upload,Described,"system logs, ICS command logs",Program Transfer Operation,No,Proprietary-Undocumented Technology,,Process involved in transferring new or modified code to the controller as part of the SafeAppendProgramMod call,[Triton](https://attack.mitre.org/software/S1009) calls the SafeAppendProgramMod to transfer its payloads to the Tricon. Part of this call includes preforming a program upload. (Citation: MDudek-ICS),T0845,relationship--a946c9b1-5b89-44c9-b617-3412ffda34b10,FALSE,,Triton,https://attack.mitre.org/software/S1009,Yuval,,,,,,,,,
get main processor diagnostic data TriStation command,Actionable-Atomic,ICS logs,ICS Command,No,Proprietary-Documented Technology,,The normal TriStation command which has its function pointer altered by inject.bin.,"[Triton](https://attack.mitre.org/software/S1009)'s injector, inject.bin, changes the function pointer of the 'get main processor diagnostic data' TriStation command to the address of imain.bin so that it is executed prior to the normal handler. (Citation: Jos Wetzels January 2018)",T0874,relationship--ccc67bb3-acc3-4294-81b3-4a0d972f2dd7,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
imain.bin,Actionable-Atomic,File system,Executable File,Full: File,Open/Standard Technology,,The binary whose address replaces the original function pointer to be executed ahead of the normal handler.,"[Triton](https://attack.mitre.org/software/S1009)'s injector, inject.bin, changes the function pointer of the 'get main processor diagnostic data' TriStation command to the address of imain.bin so that it is executed prior to the normal handler. (Citation: Jos Wetzels January 2018)",T0874,relationship--ccc67bb3-acc3-4294-81b3-4a0d972f2dd7,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
inject.bin,Actionable-Atomic,File system,Executable File,Full: File,Open/Standard Technology,,Triton‰Ûªs injector binary that modifies the function pointer.,"[Triton](https://attack.mitre.org/software/S1009)'s injector, inject.bin, changes the function pointer of the 'get main processor diagnostic data' TriStation command to the address of imain.bin so that it is executed prior to the normal handler. (Citation: Jos Wetzels January 2018)",T0874,relationship--ccc67bb3-acc3-4294-81b3-4a0d972f2dd7,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
Triton,Mentioned,Threat intelligence feeds,Software/Tool,Full: Malware,Proprietary-Documented Technology,,"Referenced via MITRE ATT&CK (S1009), identified as the malware platform.","[Triton](https://attack.mitre.org/software/S1009)'s injector, inject.bin, changes the function pointer of the 'get main processor diagnostic data' TriStation command to the address of imain.bin so that it is executed prior to the normal handler. (Citation: Jos Wetzels January 2018)",T0874,relationship--ccc67bb3-acc3-4294-81b3-4a0d972f2dd7,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
program allocation API,Mentioned,System and application logs,API Function,No,Proprietary-Undocumented Technology,,No additional detail provided beyond its functionality.,"[Triton](https://attack.mitre.org/software/S1009) leverages a reconstructed TriStation protocol within its framework to trigger APIs related to program download, program allocation, and program changes. (Citation: Jos Wetzels January 2018)",T0871,relationship--d72e7d01-56be-4fbd-8957-3384533ba83b,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
program changes API,Mentioned,System and application logs,API Function,No,Proprietary-Undocumented Technology,,No additional detail provided beyond its functionality.,"[Triton](https://attack.mitre.org/software/S1009) leverages a reconstructed TriStation protocol within its framework to trigger APIs related to program download, program allocation, and program changes. (Citation: Jos Wetzels January 2018)",T0871,relationship--d72e7d01-56be-4fbd-8957-3384533ba83b,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
program download API,Mentioned,System and application logs,API Function,No,Proprietary-Undocumented Technology,,No additional detail provided beyond its functionality.,"[Triton](https://attack.mitre.org/software/S1009) leverages a reconstructed TriStation protocol within its framework to trigger APIs related to program download, program allocation, and program changes. (Citation: Jos Wetzels January 2018)",T0871,relationship--d72e7d01-56be-4fbd-8957-3384533ba83b,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
Reconstructed TriStation protocol,Described,ICS network traffic logs,ICS Protocol,No,Proprietary-Undocumented Technology,,Reverse-engineered version used within the Triton framework.,"[Triton](https://attack.mitre.org/software/S1009) leverages a reconstructed TriStation protocol within its framework to trigger APIs related to program download, program allocation, and program changes. (Citation: Jos Wetzels January 2018)",T0871,relationship--d72e7d01-56be-4fbd-8957-3384533ba83b,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
Triton,Mentioned,Endpoint logs / Malware analysis reports,Software/Tool,Full: Software,Open/Standard Technology,,Referenced via MITRE ATT&CK entry.,"[Triton](https://attack.mitre.org/software/S1009) leverages a reconstructed TriStation protocol within its framework to trigger APIs related to program download, program allocation, and program changes. (Citation: Jos Wetzels January 2018)",T0871,relationship--d72e7d01-56be-4fbd-8957-3384533ba83b,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
DCS,Mentioned,ICS data,Distributed Control System,No,Proprietary-Documented Technology,,Referenced as the control system employed to create an unsafe state or hazard.,"[Triton](https://attack.mitre.org/software/S1009) has the capability to reprogram the SIS logic to allow unsafe conditions to persist or reprogram the SIS to allow an unsafe state while using the DCS to create an unsafe state or hazard. (Citation: Blake Johnson, Dan Caban, Marina Krotofil, Dan Scali, Nathan Brubaker, Christopher Glyer December 2017)",T0880,relationship--d8354850-bd4c-4bd9-a585-b107f5f1398f,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
SIS,Mentioned,ICS data,Safety Instrumented System,No,Proprietary-Documented Technology,,Refers generically to the safety system logic targeted for reprogramming.,"[Triton](https://attack.mitre.org/software/S1009) has the capability to reprogram the SIS logic to allow unsafe conditions to persist or reprogram the SIS to allow an unsafe state while using the DCS to create an unsafe state or hazard. (Citation: Blake Johnson, Dan Caban, Marina Krotofil, Dan Scali, Nathan Brubaker, Christopher Glyer December 2017)",T0880,relationship--d8354850-bd4c-4bd9-a585-b107f5f1398f,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
Triton,Described,cyber threat intelligence,Software/Tool,Full: Software,Proprietary-Documented Technology,,Referenced with a MITRE ATT&CK link and described capability to reprogram safety systems.,"[Triton](https://attack.mitre.org/software/S1009) has the capability to reprogram the SIS logic to allow unsafe conditions to persist or reprogram the SIS to allow an unsafe state while using the DCS to create an unsafe state or hazard. (Citation: Blake Johnson, Dan Caban, Marina Krotofil, Dan Scali, Nathan Brubaker, Christopher Glyer December 2017)",T0880,relationship--d8354850-bd4c-4bd9-a585-b107f5f1398f,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
imain.bin,Actionable-Atomic,ICS data,Payload File,Full: File,Open/Standard Technology,,Injected payload file into the firmware memory region.,"[Triton](https://attack.mitre.org/software/S1009) disables a firmware RAM/ROM consistency check after injects a payload (imain.bin) into the firmware memory region. (Citation: DHS CISA February 2019) (Citation: ICS-CERT December 2018) (Citation: Schneider Electric January 2018) Triconex systems include continuous means of detection including checksums for firmware and program integrity, memory and memory reference integrity, and configuration. (Citation: The Office of Nuclear Reactor Regulation)",T0820,relationship--ea50253a-3220-458b-b810-ad032f2b182f,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
Triconex systems,Mentioned,ICS data,Industrial Control System Device,No,Proprietary-Documented Technology,,Refers to control systems with continuous detection capabilities such as firmware checksum and memory integrity verification.,"[Triton](https://attack.mitre.org/software/S1009) disables a firmware RAM/ROM consistency check after injects a payload (imain.bin) into the firmware memory region. (Citation: DHS CISA February 2019) (Citation: ICS-CERT December 2018) (Citation: Schneider Electric January 2018) Triconex systems include continuous means of detection including checksums for firmware and program integrity, memory and memory reference integrity, and configuration. (Citation: The Office of Nuclear Reactor Regulation)",T0820,relationship--ea50253a-3220-458b-b810-ad032f2b182f,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
Triton,Described,system logs,Software/Tool,Full: Software,Proprietary-Undocumented Technology,,Identified via MITRE ATT&CK reference (S1009); a malicious software component that disables firmware integrity checks.,"[Triton](https://attack.mitre.org/software/S1009) disables a firmware RAM/ROM consistency check after injects a payload (imain.bin) into the firmware memory region. (Citation: DHS CISA February 2019) (Citation: ICS-CERT December 2018) (Citation: Schneider Electric January 2018) Triconex systems include continuous means of detection including checksums for firmware and program integrity, memory and memory reference integrity, and configuration. (Citation: The Office of Nuclear Reactor Regulation)",T0820,relationship--ea50253a-3220-458b-b810-ad032f2b182f,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
firmware RAM/ROM consistency check,Described,"memory, system logs",Integrity Check Routine,No,Proprietary-Undocumented Technology,,Disabled by Triton to avoid detection of injected payloads in memory,"[Triton](https://attack.mitre.org/software/S1009) disables a firmware RAM/ROM consistency check after injects a payload (imain.bin) into the firmware memory region. (Citation: DHS CISA February 2019) (Citation: ICS-CERT December 2018) (Citation: Schneider Electric January 2018) Triconex systems include continuous means of detection including checksums for firmware and program integrity, memory and memory reference integrity, and configuration. (Citation: The Office of Nuclear Reactor Regulation)",T0820,relationship--ea50253a-3220-458b-b810-ad032f2b182f,FALSE,,Triton,https://attack.mitre.org/software/S1009,Yuval,,,,,,,,,
implant,Mentioned,ICS data,ICS Device,No,Proprietary-Undocumented Technology,,A generic reference to the target implanted within the ICS environment with which Triton communicates.,[Triton](https://attack.mitre.org/software/S1009) can communicate with the implant utilizing the TriStation 'get main processor diagnostic data' command and looks for a specifically crafted packet body from which it extracts a command value and its arguments. (Citation: Jos Wetzels January 2018),T0869,relationship--f584a257-c22a-434b-aa2d-6220987821ab,FALSE,,Triton,https://attack.mitre.org/software/S1009,,,,,,,,,,
